,phrase,sentiment values
2773,sci-fi ),0.54167
2774,sociolog reflect,0.58333
2775,uberviol clerick,0.47222
2776,"-- well cinematograph , christoph doyl --",0.5
2777,sinc brother mcmullen,0.5
2778,film 's interest,0.51389
2779,rock-solid gangster movi,0.81944
2780,simpli becom routin shocker,0.27778
2781,dramat firework,0.58333
2782,good jr .,0.5
2783,"unleash slightli craze , overtli determin young woman",0.65278
2784,patronis rever,0.375
2785,sucker,0.375
2786,pic,0.5
2787,"'m mental challeng get fair shot movi busi , sure n't collect keen self-mutil sideshow geek .",0.40278
2788,"seen specul histori , much explor paranoid impuls creativ sequel warren report .",0.58333
2789,recycl old clich,0.40278
2790,u .,0.5
2791,noth episod smackdown ! period costum bigger budget,0.26389
2792,parent ` vain ' jia 's,0.5
2793,defi classif thought-provok,0.41667
2794,one-lin snappi,0.76389
2795,particularli nightmarish fairytal,0.38889
2796,rather routin,0.33333
2797,"'m afraid wo n't get frankli fantast by-the-numb b-flick suspens disbelief . rather , 'll wrestl disbelief ground appli chloroform-soak handkerchief .",0.19444
2798,babi kiss death bitter italian comedi,0.27778
2799,"funni ,",0.79167
2800,frustrat ` tweener ',0.38889
2801,outtak charact forget line,0.33333
2802,need hollywood us,0.45833
2803,showboat wise-crack stock persona sure get old .,0.30556
2804,zero,0.5
2805,cold blanket urban desper,0.40278
2806,one thing sure :,0.52778
2807,awe power grace one greatest natur sportsmen modern time,0.77778
2808,director mark romanek 's self-consci scrutini,0.38889
2809,"univers theme , earnest perform",0.77778
2810,middl war zone,0.5
2811,'s hardli,0.5
2812,summer fluff,0.38889
2813,convent science-fict element bug-ey monster futurist women skimpi cloth,0.375
2814,film featur young children threaten terrorist bomb,0.40278
2815,"tire , unimagin deriv variat already-shallow genr .",0.25
2816,east-v,0.5
2817,resourc ingeni,0.90278
2818,st . loui,0.5
2819,noth costner,0.58333
2820,themat coher,0.5
2821,'' stuart littl 2,0.56944
2822,might accur titl mr. chip old block,0.45833
2823,", sometim beauti adapt",0.63889
2824,mr . soderbergh 's direct visual style,0.56944
2825,test trekki loyalti,0.5
2826,emot timeless,0.5
2827,"peter seller , kenneth william",0.5
2828,"captiv show excess busi pleasur , allow us find small , human moment , leav grand whimper .",0.76389
2829,turkey,0.5
2830,enjoy 're one lucki sought,0.73611
2831,scorses 's mean street,0.58333
2832,`` home alon '' film,0.5
2833,except dreari overwrought bit work,0.083333
2834,young adult life urban south korea,0.5
2835,disappearing\/reappear,0.5
2836,someon want see,0.75
2837,( murder number ),0.4305600000000001
2838,expor,0.5
2839,"ignor clich concentr citi sea 's interperson drama , ai n't half-bad .",0.45833
2840,outrag plympton seem go time . miss quirki amaz use come along integr part ride .,0.31944
2841,pictur sinc 3000 mile graceland,0.5
2842,forc quirki tone,0.48611
2843,alway end hippi get,0.55556
2844,ignor contemporari american film,0.44444
2845,director randal wallac 's,0.5
2846,movi ' end,0.5
2847,might made '70 '80,0.44444
2848,"gorgeou , passion",0.81944
2849,question,0.55556
2850,epic landscap,0.8472200000000001
2851,majidi 's direct never smoother confid .,0.8333299999999999
2852,( stephen ) earnhart 's film optim group peopl struggl give better lot life one,0.52778
2853,hold,0.5
2854,"other n't ,",0.45833
2855,"becom classic ,",0.51389
2856,emot draw peopl togeth across wall might otherwis separ,0.65278
2857,humor observ gener absurd modern life,0.77778
2858,"fascin ... often intens charact studi father son , loyalti duti .",0.80556
2859,liber,0.55556
2860,children centuri ... take kuri ' career whole new level .,0.73611
2861,ribald humor touch nostalgia sure pleas anyon search jule jim new millennium .,0.875
2862,"stuff high romanc , brought consider wit",0.75
2863,give-me-an-oscar,0.72222
2864,,0.5
2865,tv-cop,0.5
2866,'s also stupid .,0.20833
2867,direct,0.65278
2868,upon origin hit movi,0.56944
2869,disturb examin appear definit ` bad ' polic shoot .,0.41667
2870,"ca n't think singl good reason see movi , even though everyon group extemporan shout , ` thank ! ' leguizamo final plug irrit charact late movi .",0.16667
2871,sensual delight simmer violenc,0.66667
2872,redeem featur chan 's film,0.70833
2873,"unorigin , unfunni unrecommend",0.19444
2874,wait till,0.58333
2875,die .,0.45833
2876,tell 's reason anyon bother rememb .,0.16667
2877,"credul , unassum , subordin subject",0.30556
2878,refresh korean,0.58333
2879,"amus , let alon funni",0.61111
2880,stevenon 's,0.55556
2881,52,0.5
2882,,0.5
2883,romijn-stamo,0.66667
2884,hilari writer-director,0.77778
2885,especi franc,0.56944
2886,drown lake afterward,0.055556
2887,"drag queen , beard ladi lactat hippi",0.41667
2888,"wendigo , larri fessenden 's spooki new thriller , refreshingli smart newfangl variat sever theme deriv far less sophist know horror film .",0.875
2889,swinger go,0.5
2890,perki witherspoon,0.61111
2891,begin,0.41667
2892,taken whole,0.5
2893,three,0.55556
2894,"biz buddi chri rock , garri shandl colin quinn",0.55556
2895,"manag build terrifi , obviou , conclus",0.59722
2896,longley 's,0.5
2897,french film industri,0.5
2898,find divert,0.33333
2899,athlet,0.65278
2900,none charact,0.4305600000000001
2901,perfectli,0.875
2902,"come courtesi john pogu , yale grad previous gave us '' skull '' last year 's '' rollerbal",0.5
2903,actor,0.5
2904,"moment swagger camaraderi , often",0.58333
2905,alongsid,0.5
2906,bit eager pleas .,0.34722
2907,darker element misogyni unprovok violenc suffoc illumin creat two daughter spars instanc humor meant shine gloomi film noir veil,0.27778
2908,"reno thankless situat ,",0.56944
2909,dopey dialogu sometim inadequ perform kill effect,0.20833
2910,cello,0.5
2911,"lazi , miser smug . one biggest disappoint year .",0.125
2912,"sleep-depriv dormer , increas weari much existenti",0.44444
2913,"match schweig , carri film broad , handsom shoulder",0.69444
2914,"n't clue someth 's horribl wrong , noth",0.375
2915,funni yet dark seedi clash,0.70833
2916,anoth entir run time,0.4305600000000001
2917,"movi respect law , polit correct common decenc ,",0.33333
2918,"not-so-funni gag , scatter moment lazi humor",0.4305600000000001
2919,", 's precis arthur dong 's famili fundament .",0.5
2920,way,0.5
2921,larri fessenden 's,0.5
2922,still,0.45833
2923,"guy ritchi 's lock , stock two smoke barrel snatch",0.5
2924,worthi successor better tomorrow killer patient wait,0.80556
2925,entertain,0.52778
2926,film -- well delight cast -- breezi,0.66667
2927,"found like film , though case one man 's treasur could prove anoth man 's garbag .",0.47222
2928,becom ravish waif appli smear lip-gloss,0.44444
2929,stomach-knot suspens,0.73611
2930,make,0.51389
2931,find littl new,0.38889
2932,achiev near virtuos crapul,0.22222
2933,basic plot trajectori,0.4305600000000001
2934,earnestli gener,0.48611
2935,ambiti film,0.58333
2936,win vote ` 2002 enemi cinema ' award .,0.5
2937,pleasant spite predict,0.72222
2938,need scent bath,0.26389
2939,transit adulthood fraught,0.34722
2940,"good , except time",0.70833
2941,none charm littl,0.22222
2942,task,0.5
2943,"truth consequ , n.m. ' interchang",0.4305600000000001
2944,"make `` never '' worthwhil , ( writer\/director ) schaeffer follow titular advic",0.48611
2945,trash,0.027778
2946,fine job,0.77778
2947,"remind anim perfect medium children , way allow mind enter accept anoth world",0.91667
2948,10 time natur size,0.55556
2949,true stori,0.5
2950,'70 '80,0.5
2951,mani charact say mani clever thing get mani pointless situat,0.29167
2952,one funnier movi town .,0.88889
2953,human experi,0.55556
2954,need doomsday thriller,0.55556
2955,hatr,0.30556
2956,testimoni,0.52778
2957,deal mani problem taken serious,0.45833
2958,fulfil wildest fantasi differ kind time travel,0.72222
2959,tonight maid,0.52778
2960,"funni , uplift move , sometim",0.63889
2961,go show soon .,0.61111
2962,scale lunat height joe dant 's similarli style gremlin,0.61111
2963,span 125-year divid,0.52778
2964,sort love peopl onscreen,0.79167
2965,movi 's eventu success,0.73611
2966,trove,0.625
2967,time-vault,0.5
2968,full-blown movi,0.45833
2969,like enough .,0.65278
2970,'s far slight introspect appeal anyth wider nich audienc .,0.38889
2971,"latest eccentr ,",0.55556
2972,"` terribl filmmak ' bad , like , ' nightmar like ,",0.083333
2973,wit innov,0.63889
2974,bad,0.58333
2975,tri break heart attract desper need,0.52778
2976,lack outright new,0.375
2977,"mere serv predict , maudlin stori swipe heavili bambi lion king , yet lack emot reson either movi .",0.27778
2978,offer surpris,0.41667
2979,", barbershop get greatest play timeless spectacl peopl realli talk .",0.66667
2980,elegantli consid variou level realiti,0.76389
2981,without rainwear,0.47222
2982,wwf fan,0.61111
2983,even rig,0.30556
2984,mind -- mayb much,0.44444
2985,"water ,",0.34722
2986,come video,0.66667
2987,kiddi,0.5
2988,doldrum,0.375
2989,pictur n't great begin,0.19444
2990,less concern cultur polit issu,0.38889
2991,disney 's great past,0.75
2992,convey emot,0.38889
2993,director 's,0.5
2994,million,0.54167
2995,temper element prove direct antithesi get right,0.41667
2996,raci subject matter,0.48611
2997,,0.52778
2998,"lumber ,",0.48611
2999,mojo,0.55556
3000,tri make us laugh,0.36111
3001,underestim,0.38889
3002,"'m mental challeng get fair shot movi busi ,",0.33333
3003,'s inauthent core,0.22222
3004,"aaliyah rare dampen diva persona enough spark genuin chemistri townsend . speak , creepi egyptian demigod voic comput process overproduc music .",0.19444
3005,singl gag sequenc,0.65278
3006,capabl clayburgh,0.51389
3007,intens scrutini 104 minut,0.33333
3008,feel better alreadi .,0.73611
3009,'s decommiss,0.51389
3010,"let crocodil hunter steve irwin best ,",0.59722
3011,13 convers,0.5
3012,temper could 've impact film .,0.38889
3013,immedi inclin provid fourth book,0.44444
3014,experi see scorpion king,0.5
3015,"grim , upset glimps live 1 .",0.40278
3016,total unnecessari prologu,0.16667
3017,1967,0.5
3018,lyric '' tonight,0.5
3019,alway entic sayl dialogu,0.88889
3020,cub,0.47222
3021,harri goldberg,0.5
3022,"... suck human film , leav behind horrif weirdli unemot spectacl .",0.16667
3023,sign dot line,0.56944
3024,perspect,0.5
3025,fast loos,0.58333
3026,"use old-tim formula , 's terribl origin",0.30556
3027,"thank larg william , interest develop process 60 minut -- rest overexpos wast film",0.34722
3028,like extrem action-pack film hint humor,0.8333299999999999
3029,"crossing-ov mumbo jumbo , manipul sentiment , sappi dialogu",0.22222
3030,surreal,0.47222
3031,"mani fine , focus film emerg surpris nation",0.88889
3032,build suspens,0.45833
3033,portray film,0.5
3034,"'s worst comedi year ,",0.45833
3035,everi nanosecond new guy remind could someth els far pleasur . someth like scrub toilet . empti rat trap . last year 's tax ex-wif,0.33333
3036,"pain watch ,",0.40278
3037,"intellig consid detail , ultim weak",0.41667
3038,distinguish,0.66667
3039,remain throughout .,0.38889
3040,pull back,0.4305600000000001
3041,", film deadli dull",0.083333
3042,might well titl gener jennif lopez romant comedi,0.25
3043,"captur ,",0.5
3044,appear excit rehash basic one-jok pictur,0.19444
3045,drag nearli three hour,0.20833
3046,clever pseudo-bio,0.81944
3047,adapt kevin moloni simon ley ' novel `` death napoleon '',0.5
3048,cram full,0.4305600000000001
3049,scroog two,0.33333
3050,would save film world hurt,0.38889
3051,humor end tragedi begin,0.63889
3052,anyth seen jerri springer,0.38889
3053,sometim brilliant movi .,0.76389
3054,"sprecher screenwrit partner sister , karen sprecher ,",0.5
3055,"way work make women look like stereotyp caretak moral teacher , instead seriou athlet .",0.19444
3056,", fact",0.5
3057,"game absurd plot twist , idiot court maneuv stupid charact",0.19444
3058,dramat involv,0.58333
3059,ingeni plot devic lavishli built set,0.81944
3060,'s lovers-on-the-run crime flick,0.66667
3061,give star,0.58333
3062,way,0.5
3063,protagonist ' bohemian boorish mar spirit good clean fun,0.31944
3064,"compel exot , fast runner plot rival shakespear intrigu , treacheri murder .",0.8333299999999999
3065,origin,0.5
3066,run,0.52778
3067,'s much tongu cheek film,0.47222
3068,chase sequenc,0.5
3069,child,0.5
3070,screenplay die,0.75
3071,"less baroqu showi hannib ,",0.55556
3072,social polit potenti,0.56944
3073,"clinic ,",0.5
3074,enlighten,0.76389
3075,"( ' speak fluent flatula , ' advis denlopp rather , er , bubbl exchang alien deckhand )",0.44444
3076,2002 audienc,0.54167
3077,indulg,0.38889
3078,shoulder philosoph burden lightli .,0.45833
3079,nomin,0.59722
3080,"fact ,",0.625
3081,"bizarr , funni",0.77778
3082,"soul , incis medit",0.61111
3083,mirthless todd solondzian satir,0.45833
3084,"ash wednesday suspens ultim unpredict , sterl ensembl cast .",0.8333299999999999
3085,unsuspect lawmen,0.44444
3086,residu,0.5
3087,perfect use breathtakingli beauti outer-spac documentari space station 3d,0.8333299999999999
3088,desper miscalcul,0.30556
3089,'ve ever seen,0.48611
3090,eurotrash,0.34722
3091,", mibii rote work predict , philosoph visual come right end extravagantli redeem .",0.68056
3092,watch slim travel incognito ridicul wig respect halloween costum shop would ever tri sell,0.31944
3093,get stupid maudlin .,0.055556
3094,close,0.5
3095,urban,0.5
3096,achiev near-imposs,0.80556
3097,anoth car chase,0.4305600000000001
3098,main charact suggest,0.5
3099,"approach usher said sit , ask rais .",0.097222
3100,sustain initi promis,0.55556
3101,career director barri sonnenfeld,0.51389
3102,guy ritchi imit,0.40278
3103,downward spiral come pass,0.54167
3104,women sinc valley doll,0.56944
3105,life '',0.55556
3106,computer-gener imag,0.52778
3107,focus joan 's rage hormon sledgehamm audienc spanish inquisit `` mad '' much,0.31944
3108,feet,0.47222
3109,never know chang lane go take,0.55556
3110,2002 enemi cinema ' award,0.56944
3111,"finish , like wet burlap sack gloom",0.34722
3112,make transit,0.5
3113,doubt,0.55556
3114,blare heavi metal,0.5
3115,cannib genr,0.375
3116,el,0.5
3117,hardli seem act,0.59722
3118,despit lag near finish line,0.33333
3119,exotic,0.5
3120,nuditi,0.38889
3121,pad,0.5
3122,act like puppet,0.23611
3123,load good intent,0.72222
3124,eventu,0.5
3125,one best gay love stori ever made,0.58333
3126,first time,0.51389
3127,among multitud simple-mind,0.56944
3128,thing alreadi know 's,0.56944
3129,"special effect ,",0.41667
3130,protect code cost,0.5
3131,", narr necess drunken roundhous ,",0.40278
3132,introduc '' spider '' '' snake,0.40278
3133,"66 , stop challeng",0.41667
3134,care whether boast true,0.38889
3135,schneider vehicl,0.5
3136,career curio,0.52778
3137,"cover huge , heavi topic bland , surfacey way n't offer insight , instanc , good thing happen bad peopl .",0.15278
3138,son,0.51389
3139,costum drama,0.5
3140,delic tightrop farcic loathsom,0.26389
3141,send audienc straight hell,0.38889
3142,rise full potenti,0.68056
3143,"word , bad film",0.22222
3144,awkward version,0.29167
3145,sayl dialogu,0.5
3146,intend,0.5
3147,'re kind person seen everi wim wender film '70,0.45833
3148,front rank,0.5
3149,border bemus contempt .,0.44444
3150,deep intellig,0.61111
3151,"camera whirl ! camera twirl ! oh , look clever angl ! wow , jump cut !",0.5
3152,"n't seen film late , may surpris varieti tone spielberg 's work . much funni , also startl , surrealist moment ...",0.80556
3153,trap,0.55556
3154,'s slow time,0.34722
3155,"depend upon reaction movi , may never abl look red felt sharpi pen without disgust , thrill , giggl .",0.59722
3156,someth fun,0.72222
3157,die long ago,0.38889
3158,pitch cadenc depress fifteen-year-old 's suicid poetri .,0.31944
3159,warn anyon,0.47222
3160,'s mostli,0.5
3161,"uninspir script , act direct",0.22222
3162,slam-bang,0.66667
3163,skin heartfelt achingli real .,0.8333299999999999
3164,prime talent,0.56944
3165,"gentl laugh equal gentl sentiment button ,",0.70833
3166,set,0.5
3167,film 's conclus power satisfi,0.94444
3168,christian right propaganda machin,0.19444
3169,93 minut,0.5
3170,make,0.52778
3171,fine movi -- go see,0.81944
3172,"hapless victim arrog '' put togeth wri white man chatti black man give gun , movi funni ''",0.16667
3173,jackson 's limit enthusiast adapt,0.58333
3174,must difficult shoot,0.5
3175,latter 's attend intellig,0.38889
3176,"direct ,",0.5
3177,"work ,",0.48611
3178,director danni devito screenwrit adam resnick,0.52778
3179,meticul talent,0.69444
3180,- '90,0.5
3181,littl grace ( rifkin 's ) tale precari skid-row digniti,0.61111
3182,find consist tone lack,0.61111
3183,jane goodal 's wild chimpanze,0.5
3184,mystic genr,0.5
3185,trade cynic,0.59722
3186,suck face,0.44444
3187,upcom,0.54167
3188,re-assess basi live,0.45833
3189,tendenc slip hokum,0.33333
3190,gangster no.,0.51389
3191,get money,0.48611
3192,mental add showtim pile hollywood dreck repres noth art deal,0.45833
3193,desper want quentin tarantino grow,0.5
3194,rice 's,0.5
3195,warn,0.40278
3196,ludicr term,0.52778
3197,blockbust pollut summer movi pool,0.44444
3198,everi gangster movi,0.5
3199,... keep movi slalom hackney element enjoy eas .,0.76389
3200,elev michael cain 's perform weari journalist chang world .,0.79167
3201,"real conflict ,",0.33333
3202,grab,0.54167
3203,mind killer,0.59722
3204,"smart , nuanc look de sade might happen picpu",0.73611
3205,"spin web dazzl entertain may overst , '' spider-man '' certainli deliv good .",0.81944
3206,`` chicago '' 2002,0.5
3207,one,0.47222
3208,far appeal,0.76389
3209,averag b-movi,0.44444
3210,initi high,0.52778
3211,find new scene interest,0.65278
3212,necessari polit work fascin documentari,0.81944
3213,"ye , one enjoy see joan grow awkward young woman strong , determin monarch , love philand philip diminish statur",0.5
3214,"'s mostli pleasur watch . reason self-awar , often self-mock , intellig .",0.66667
3215,touch,0.86111
3216,"protect cub ,",0.5
3217,thekid,0.5
3218,imax,0.58333
3219,push hard make comedi seriou drama,0.33333
3220,exact movi,0.5
3221,aquel,0.5
3222,warm-milk persona,0.5
3223,", wonder n't recogn first",0.5
3224,yi,0.5
3225,would requir mani session couch dr. freud,0.33333
3226,hollywood bio-pic,0.54167
3227,tread desper nasti sea,0.13889
3228,'s glanc,0.5
3229,miser smug .,0.23611
3230,"game , wire fu ,",0.5
3231,happen,0.51389
3232,n't tri look deep stori,0.45833
3233,jaw-droppingli beauti work upend nearli everi cliché japanes anim deliv satisfactori amount carnag .,0.875
3234,28k,0.5
3235,kitschi goodwil,0.48611
3236,"( moor 's ) better finger problem find solut . though scratch surfac , least provid strong itch explor",0.59722
3237,age -- movi make laugh,0.81944
3238,hard emot,0.40278
3239,whatev thought first product -- pro con -- 'll like think one,0.38889
3240,two tower outdo spectacl .,0.80556
3241,tie,0.5
3242,( herzog 's ) person polici,0.66667
3243,legaci,0.5
3244,ca n't quit live,0.47222
3245,genr,0.5
3246,film take nearli three hour unspool,0.36111
3247,especi,0.5
3248,tian zhuangzhuang,0.55556
3249,embark major career commerci yet invent filmmak,0.65278
3250,interest writer\/director,0.69444
3251,will champion fallibl human heart,0.66667
3252,keep thing semi-st ground dramat,0.55556
3253,"mount , exasperatingli",0.30556
3254,point resembl stage play,0.55556
3255,"seemingli vehicl showcas canadian 's inan rambl , steal harvard smorgasbord soliloqui noth deliv former mr . drew barrymor .",0.16667
3256,patholog,0.44444
3257,accept nasti behavior sever flaw part human condit,0.44444
3258,"well keen , unsentiment look variat theme motherhood .",0.66667
3259,'s quit enough,0.5
3260,tom shadyac 's film,0.5
3261,"film n't move one way ,",0.41667
3262,hirosu,0.5
3263,come china recent year,0.5
3264,mother\/daught,0.5
3265,"war , famin poverti",0.4305600000000001
3266,"( kid 's ) bratti sympathi , film grow final , littl chang",0.25
3267,lame special effect,0.30556
3268,grandeur best next gener episod lack,0.31944
3269,crowd-pleas n't littl broad comedi unabashedli sentiment tear,0.72222
3270,'s,0.5
3271,ad disdain,0.30556
3272,four lead actor lot,0.5
3273,fresh modesti,0.73611
3274,consid work,0.44444
3275,"n't , instead use bad sci-fi window dress",0.23611
3276,"4ever sledgehamm appeal pokemon video ,",0.23611
3277,seek,0.5
3278,laissez-pass earmark french cinema best .,0.77778
3279,'50 sociolog,0.44444
3280,playwrit,0.63889
3281,creat monster,0.48611
3282,stale retread '53 origin,0.38889
3283,difficult relationship,0.34722
3284,n't feel,0.29167
3285,clunker,0.22222
3286,ugli movi,0.26389
3287,stun lyric work consider forc truth,0.86111
3288,rememb charact,0.56944
3289,polit corrupt,0.41667
3290,better movi experi,0.76389
3291,other even compel,0.59722
3292,matter ` eh,0.47222
3293,film like,0.5
3294,"harmlessli naïv slice b-ball fantasi , fit fill real nba 's off-season",0.59722
3295,come surpris movi n't scari .,0.29167
3296,"anim ,",0.5
3297,crocodil hunter steve irwin,0.48611
3298,act style onscreen persona,0.5
3299,stage,0.5
3300,"equal amount naiveté , passion talent",0.88889
3301,true mean holiday,0.625
3302,look anoth cultur handl process court marriag,0.69444
3303,mean perfect film,0.30556
3304,pure enjoy satisfi even,0.86111
3305,describ exactli bad,0.15278
3306,raw perform,0.5
3307,clerick,0.5
3308,rohmer 's bold choic,0.55556
3309,"everi subsequ event chines histori : war , revolut , commun , etc.",0.45833
3310,fallibl human be,0.44444
3311,brian de palma 's addict,0.41667
3312,"depress , lead actor phone autobiograph perform",0.55556
3313,", n't redeem moment .",0.26389
3314,"passion , lip-synch , tragedi , lot realli realli high note .",0.45833
3315,'d mate .,0.5
3316,"terrif flick replet dazzl camera-work , danc music",0.90278
3317,nair n't use ( monsoon wed ) lament loss cultur,0.73611
3318,novel 's,0.54167
3319,standard procedur,0.5
3320,studious avoid provok thought,0.30556
3321,horrifi document lynch,0.38889
3322,mediocr,0.375
3323,"( serri ) want blend polit drama , admir ambit .",0.69444
3324,black ii achiev ultim insignific,0.125
3325,dispos tissu one wild card,0.41667
3326,slap togeth brand liber,0.48611
3327,seri 'll bet parent thought -- hope ! --,0.5
3328,", sketchiest movi",0.30556
3329,highli predict narr fall short,0.27778
3330,frat boy,0.44444
3331,connect,0.63889
3332,underdog movi sinc bad news bear ?,0.38889
3333,leagu sea ' georg pal version h.g. well ' ` time machin,0.5
3334,"amus , breezili apolit documentari",0.86111
3335,march band get live,0.56944
3336,"forc endur three termin depress , mostli inarticul , hyper dysfunct famili price one",0.23611
3337,cast,0.5
3338,main charact travel back forth epoch,0.51389
3339,red van,0.5
3340,pace .,0.47222
3341,laugh surround unremark soft center,0.5
3342,less shakespear spawn fool saw quentin tarantino 's hand raucou gangster film branch pseudo-witti copycat interpret,0.18056
3343,monument ` pictur show,0.76389
3344,"definit funni stuff , 's ` laugh ' varieti ` laugh .",0.55556
3345,"enrich imagin mix cast antic spirit , head christoph plummer subtlest complexli evil uncl ralph 've ever seen mani film stage adapt work",0.86111
3346,imagin,0.5
3347,action cliché,0.22222
3348,movi might titl ` loud ludicr ',0.36111
3349,"simpli put , compel excus pair susan sarandon goldi hawn .",0.29167
3350,yank,0.5
3351,,0.65278
3352,histor context,0.5
3353,brainless,0.18056
3354,great director helm,0.72222
3355,.,0.51389
3356,tangl plot,0.59722
3357,spin styx sting,0.5
3358,artist award mythic statu contemporari cultur,0.80556
3359,humor . like blend shade lipstick,0.59722
3360,heartbreak honesti,0.69444
3361,also nice,0.63889
3362,", puls never disappear entir",0.59722
3363,sport breezi spontan,0.69444
3364,highli irrit first,0.25
3365,almost class wild,0.66667
3366,"even unlik link togeth conquer kind obstacl , whether natur , man one anoth",0.69444
3367,paus,0.59722
3368,'s jim brown : american long last give subject movi worthi talent,0.77778
3369,alan,0.5
3370,broad outlin,0.5
3371,compani 's previou video work,0.51389
3372,head emot steam,0.59722
3373,like buri new environ .,0.61111
3374,showtim 's starri cast could asset detriment .,0.5
3375,"'s dull , spiritless , silli monoton : ultra-loud blast pointless mayhem , go nowher fast .",0.11111
3376,remad viewer diaper origin releas 1987 .,0.5
3377,contriv pastich caper clich .,0.25
3378,piquant,0.55556
3379,stereotyp,0.51389
3380,queen 's men,0.51389
3381,richer anticip,0.73611
3382,bravura perform,0.61111
3383,"leav rohmer , 82 , find way bend current techniqu servic vision past faith architectur glori command open space citi two centuri ago .",0.91667
3384,"n't win point origin . succeed follow feel-good formula win style , offer target audienc urban kid",0.66667
3385,underli theme,0.5
3386,chabrol 's best,0.25
3387,patch,0.5
3388,rowdi particip think,0.59722
3389,"comedi , romanc , fairi tale , drama",0.55556
3390,film encourag debut featur needlessli downbeat end,0.44444
3391,chang hackney concept come dream romant comedi,0.30556
3392,career peak,0.69444
3393,"take warn liter , log someth user-friendli",0.5
3394,routin rather silli .,0.44444
3395,despit lag near,0.48611
3396,anyway,0.5
3397,pee,0.45833
3398,low-rent retread alien,0.29167
3399,"grace , move tribut courag new york 's finest nice underst express grief",0.80556
3400,tradit romant,0.79167
3401,look working-class,0.45833
3402,deal first love sweetli also serious .,0.66667
3403,play like seri vignett -- clip film still look common through-lin .,0.27778
3404,n't steal harvard horribl movi -- grand failur !,0.18056
3405,goe entir unexamin startlingli unfunni comedi .,0.125
3406,lord luv-spread dr. feelgood omnipot,0.56944
3407,pray 's film work well appeal even n't familiar turntabl .,0.77778
3408,"adroit final trifl flat , mad love n't galvan outrag way , say , jane campion might done , least possess .",0.36111
3409,persever,0.66667
3410,edit,0.5
3411,", white oleand n't adapt novel .",0.29167
3412,who-wrote-shakespear,0.52778
3413,heart make,0.5
3414,meant make think existenti suffer . instead,0.30556
3415,celluloid litmu test,0.44444
3416,lot obviou polit insight,0.66667
3417,'s new cloth '' begin simpl plan,0.54167
3418,ice,0.5
3419,full honor,0.55556
3420,look,0.5
3421,ludicr enough,0.29167
3422,contemporari post-colonialist conscious kapur tri bring four feather,0.44444
3423,", fun slowli leak movi .",0.44444
3424,janic beard ( eileen walsh ) real-lif persona charmless vacant,0.27778
3425,pummel audienc,0.44444
3426,fine judg,0.63889
3427,fear-reduc ),0.375
3428,one left,0.4305600000000001
3429,malkovich,0.5
3430,mr. deed '' suitabl summer entertain offer escap without requir great deal thought .,0.65278
3431,"bore , sad man",0.38889
3432,'' cremast 3 '' come warn '' seriou film buff,0.55556
3433,reviv,0.44444
3434,fell,0.45833
3435,"need know ice-t 's cool-j 's realiz far shoot concern , someth rotten state california",0.51389
3436,shakespear,0.59722
3437,singl name,0.5
3438,gari cooper gnat racehors,0.22222
3439,understand,0.61111
3440,surpris quickli fade memori,0.27778
3441,excit,0.73611
3442,institut,0.58333
3443,high crime carri almost organ intrigu govern \ \/ marine\/leg mysteri,0.18056
3444,regi philbin,0.52778
3445,coming-of-ag stori,0.625
3446,well-intent,0.72222
3447,import humor,0.56944
3448,perfectli enjoy,0.73611
3449,wonder 're talk `` talk . '',0.5
3450,"ghost ship pretti landbound , leaden act , dull exposit telegraph ` surpris . '",0.22222
3451,thoroughli unpleas,0.125
3452,n't stand cheer flick,0.45833
3453,subject matter,0.5
3454,fail,0.30556
3455,extraordinarili good .,0.95833
3456,. polanski,0.5
3457,fashion engross entertain almost sure-fir prescript critic commerci disast,0.375
3458,1979 alien,0.5
3459,next wave,0.44444
3460,reveal,0.5
3461,help '',0.5
3462,"three lead produc adequ perform ,",0.61111
3463,"simultan funni , offbeat heartwarm ( without thick shmear goo , least )",0.59722
3464,avant,0.54167
3465,direct - power drama enough sardon wit keep maudlin,0.625
3466,"movi straddl fenc escap social commentari , side fall short .",0.20833
3467,"young ,",0.51389
3468,without give,0.54167
3469,let audienc complet,0.625
3470,"unhappi , repress twist person life tormentor deserv . peopl",0.38889
3471,give peek .,0.5
3472,film,0.5
3473,writer director burr steer know territori,0.69444
3474,all-out,0.375
3475,"indic , , out-of-kilt charact",0.41667
3476,georg orwel might imagin today 's mood-alt drug therapi envis chemist 1949 .,0.61111
3477,"n't offer audienc way grip point , even attitud toward subject",0.25
3478,high-buf,0.54167
3479,merg,0.5
3480,embodi transform charact complet .,0.75
3481,n't go movi,0.375
3482,seem posit,0.70833
3483,head-bang obvious,0.38889
3484,"alleg youth fire , xxx less subservi bond 's tire formula gun , girl gadget brandish new action hero .",0.27778
3485,imagin act could flatter,0.22222
3486,measur,0.5
3487,play colleg histori cours .,0.47222
3488,much entertain,0.72222
3489,begin hate,0.27778
3490,percentag,0.5
3491,"nicola cage n't first actor lead group talent friend astray ,",0.33333
3492,becom studi gambl publish world,0.58333
3493,frida 's artist brillianc undeni -- 's among breathtakingli design film 've ever seen,0.8472200000000001
3494,search inner peac,0.625
3495,live account seinfeld deadpan .,0.34722
3496,portion,0.5
3497,pasadena,0.5
3498,like woo 's p.o.w.,0.5
3499,take look,0.61111
3500,-,0.5
